isbn;titulo;autor;editorial;categoria;año_publicacion;idioma;formato;paginas;precio_venta_pvp;precio_coste;margen_bruto_pct;disponible_online;disponible_tienda;activo;fecha_alta_catalogo;resena_texto
978-862-188-5114-6;Libro 0001 - Autoayuda;Mark Manson;Ediciones B;Autoayuda;1995;Inglés;Tapa blanda;208;15.81;8.86;43.99;Sí;Sí;Sí;2022-06-09;Un libro provocador que desafía la cultura del positivismo forzado. Manson argumenta que la clave del bienestar no está en evitar los problemas sino en elegir cuáles merecen nuestra energía. Directo, irreverente y sorprendentemente sabio.
978-301-255-8560-2;Libro 0002 - Cómics/Manga;Naoki Urasawa;Siruela;Cómics/Manga;2004;Español;Bolsillo;195;10.17;6.02;40.82;Sí;Sí;Sí;2021-04-04;Urasawa es uno de los mangakas más dotados de su generación. Sus historias combinan suspense psicológico, personajes profundos y un dominio del ritmo narrativo que mantiene al lector en vilo hasta el final.
978-166-573-9497-3;Libro 0003 - Ficción;Donna Tartt;Random House;Ficción;2003;Español;Tapa dura;304;13.23;9.51;28.11;Sí;Sí;Sí;2023-06-10;Tartt escribe con una precisión y una ambición literaria que hacen de cada novela un acontecimiento. Sus obras son crónicas del mundo burgués y sus corrupciones, escritas con una prosa de gran belleza.
978-121-212-1381-2;Libro 0004 - Economía/Negocios;Daron Acemoglu;Ediciones B;Economía/Negocios;2022;Español;Tapa blanda;457;29.1;16.08;44.74;Sí;No;Sí;2019-01-12;Acemoglu explora por qué algunas naciones prosperan y otras fracasan, centrándose en el papel decisivo de las instituciones políticas y económicas. Un análisis brillante con implicaciones para entender el mundo contemporáneo.
978-300-553-5220-8;Libro 0005 - Autoayuda;Robin Sharma;Ariel;Autoayuda;1983;Gallego;Bolsillo;201;15.3;8.74;42.85;Sí;Sí;No;2023-02-21;Sharma explora los hábitos de las personas más exitosas del mundo y los traduce en principios aplicables a cualquier vida. Una guía práctica que combina sabiduría milenaria con estrategias modernas de productividad.
978-182-221-3353-4;Libro 0006 - Cómics/Manga;Frank Miller;Alfaguara;Cómics/Manga;2006;Español;Tapa blanda;340;15.79;10.77;31.81;Sí;Sí;Sí;2023-06-23;Miller reinventó el cómic de superhéroes con una visión oscura y cinematográfica. Sus historias combinan acción visceral con crítica social, creando un estilo que ha influido a generaciones de autores.
978-158-613-5713-0;Libro 0007 - Ciencia y Tecnología;Brian Greene;Ariel;Ciencia y Tecnología;1991;Español;Bolsillo;485;49.92;36.68;26.52;Sí;Sí;Sí;2021-03-01;Greene es uno de los mejores divulgadores de física teórica del mundo. En este libro explora la naturaleza del espacio y el tiempo con una claridad excepcional, sin renunciar a la profundidad científica.
978-822-977-7530-7;Libro 0008 - Autoayuda;Brené Brown;Salamandra;Autoayuda;1982;Inglés;Tapa blanda;196;20.14;11.48;43.02;Sí;Sí;Sí;2020-10-04;La investigadora Brown analiza el papel de la vulnerabilidad en la construcción de conexiones auténticas. Con rigor científico y cercanía personal, demuestra que atreverse a ser imperfecto es la base de una vida plena.
978-387-548-2312-7;Libro 0009 - Ciencia y Tecnología;Neil deGrasse Tyson;Crítica;Ciencia y Tecnología;1995;Español;Tapa blanda;664;47.21;31.04;34.25;Sí;Sí;Sí;2021-09-04;Tyson convierte la astrofísica en una aventura accesible para cualquier lector. Con humor y entusiasmo contagioso, recorre el universo desde el Big Bang hasta los agujeros negros, sin perder nunca la maravilla por el cosmos.
978-758-946-3611-4;Libro 0010 - Idiomas;Norman Whitney;Ediciones B;Idiomas;1998;Inglés;Tapa blanda;420;21.44;13.13;38.75;Sí;Sí;Sí;2021-02-16;Whitney desarrolló materiales de aprendizaje de inglés que combinan comprensión lectora, vocabulario y gramática de forma integrada. Sus libros son herramientas eficaces para el aprendizaje autónomo.
978-386-970-4166-2;Libro 0011 - Arte y Fotografía;Giorgio Vasari;Ediciones B;Arte y Fotografía;2002;Español;Bolsillo;290;69.71;51.24;26.49;Sí;Sí;Sí;2020-12-08;Vasari fue el primer gran historiador del arte y su obra es el punto de partida de toda la historia del arte occidental. Un recorrido fascinante por el Renacimiento italiano que combina biografía, crítica y elogio apasionado.
978-401-788-3742-8;Libro 0012 - Autoayuda;Robin Sharma;Crítica;Autoayuda;1980;Español;Tapa dura;201;12.04;6.92;42.52;Sí;Sí;Sí;2022-07-06;Con su característico estilo inspirador, Sharma propone una filosofía de vida basada en la disciplina, la mentalidad de crecimiento y el servicio a los demás. Ideal para quienes buscan transformar sus rutinas.
978-840-121-2722-4;Libro 0013 - Cómics/Manga;Alan Moore;Alianza Editorial;Cómics/Manga;1998;Español;Tapa blanda;255;15.68;9.41;39.97;Sí;Sí;Sí;2022-12-26;Moore es el maestro del cómic adulto y literario. En esta obra combina dibujo expresivo con una narrativa compleja que aborda temas de poder, identidad y moral. Una lectura que eleva el cómic a la gran literatura.
978-892-276-5338-7;Libro 0014 - Cómics/Manga;Art Spiegelman;Alfaguara;Cómics/Manga;2005;Español;Tapa blanda;125;13.75;9.3;32.33;Sí;Sí;Sí;2022-02-24;Spiegelman utiliza el cómic para narrar el Holocausto a través de la historia de su padre. Una obra desgarradora y necesaria que demostró al mundo que el cómic puede abordar los temas más graves.
978-475-288-8850-9;Libro 0015 - Infantil/Juvenil;Cornelia Funke;Crítica;Infantil/Juvenil;2016;Español;Bolsillo;297;11.6;7.5;35.32;Sí;Sí;Sí;2021-12-07;Funke es una de las grandes narradoras de literatura infantil y juvenil contemporánea. Sus mundos fantásticos están construidos con una atención al detalle y una emoción que atrapan tanto a niños como a adultos.
