linea_id;venta_id;num_linea;isbn;categoria;precio_unitario;unidades;importe_bruto;descuento_pct;importe_neto
L000001;V00001;1;978-239-793-2478-9;Ficción;18,14;1;18,14;0,1;16,33
L000002;V00002;1;978-232-161-3242-4;Ficción;13,56;1;13,56;0;13,56
L000003;V00002;2;978-638-931-9804-9;Autoayuda;13,74;2;27,48;0;27,48
L000004;V00002;3;978-141-841-6955-2;Ciencia y Tecnología;31,61;1;31,61;0;31,61
L000005;V00002;4;978-141-841-6955-2;Ciencia y Tecnología;32,06;2;64,12;0;64,12
L000006;V00002;5;978-324-633-2158-5;Ficción;21,59;1;21,59;0,05;20,51
L000007;V00002;6;978-87-635-8259-0;Infantil/Juvenil;15,07;3;45,21;0,05;42,95
L000008;V00002;7;978-456-561-5923-4;Infantil/Juvenil;14,7;1;14,7;0;14,7
L000009;V00003;1;978-835-104-9732-4;Ficción;13,42;4;53,68;0,15;45,63
L000010;V00003;2;978-532-670-9974-8;Historia;20,71;2;41,42;0;41,42
L000011;V00004;1;978-941-793-3100-6;Economía/Negocios;22,06;3;66,18;0;66,18
L000012;V00005;1;978-105-505-1784-7;Arte y Fotografía;41,6;1;41,6;0;41,6
L000013;V00005;2;978-307-456-3141-0;Economía/Negocios;28,27;1;28,27;0;28,27
L000014;V00006;1;978-517-689-1853-0;No Ficción;20,24;1;20,24;0;20,24
L000015;V00007;1;978-513-993-1196-0;Infantil/Juvenil;11,23;1;11,23;0,15;9,55
L000016;V00007;2;978-475-288-8850-9;Infantil/Juvenil;11,4;1;11,4;0,1;10,26
L000017;V00007;3;978-706-591-9113-8;Idiomas;34,75;1;34,75;0;34,75
L000018;V00007;4;978-877-585-1611-0;Historia;20,56;1;20,56;0;20,56
L000019;V00008;1;978-156-189-3783-0;Ficción;13,18;1;13,18;0;13,18
L000020;V00009;1;978-946-766-1118-5;Ficción;15,52;1;15,52;0,1;13,97
L000021;V00010;1;978-803-923-2938-3;Ciencia y Tecnología;27,26;1;27,26;0,1;24,53
L000022;V00010;2;978-178-245-3533-6;Infantil/Juvenil;14,42;3;43,26;0;43,26
L000023;V00010;3;978-822-970-9521-1;Cómics/Manga;16,64;1;16,64;0,05;15,81
L000024;V00011;1;978-688-854-9863-2;Infantil/Juvenil;14,26;1;14,26;0;14,26
L000025;V00012;1;978-528-426-5538-2;Infantil/Juvenil;15,98;2;31,96;0;31,96
L000026;V00012;2;978-141-841-6955-2;Ciencia y Tecnología;34,76;1;34,76;0;34,76
L000027;V00012;3;978-745-562-2715-2;Arte y Fotografía;40,22;1;40,22;0,05;38,21
L000028;V00013;1;978-690-808-8261-7;Ficción;14,64;1;14,64;0,15;12,44
L000029;V00014;1;978-637-665-4380-4;Ficción;13,7;2;27,4;0,1;24,66
L000030;V00014;2;978-708-566-2923-6;Economía/Negocios;26,12;1;26,12;0;26,12
L000031;V00015;1;978-111-463-4794-2;Infantil/Juvenil;13,1;2;26,2;0,1;23,58
L000032;V00015;2;978-203-870-3229-0;No Ficción;21,93;1;21,93;0;21,93
L000033;V00015;3;978-762-521-3695-6;Idiomas;22,87;2;45,74;0;45,74
L000034;V00016;1;978-835-104-9732-4;Ficción;16,9;1;16,9;0,15;14,36
L000035;V00016;2;978-761-436-3394-0;Cómics/Manga;9,1;1;9,1;0,1;8,19
L000036;V00016;3;978-149-785-9681-4;Ciencia y Tecnología;32,46;1;32,46;0;32,46
L000037;V00016;4;978-209-582-1163-6;Economía/Negocios;15,64;2;31,28;0;31,28
L000038;V00017;1;978-620-665-3102-4;Ficción;14;1;14;0;14
L000039;V00017;2;978-635-721-6730-5;Historia;24,24;1;24,24;0,1;21,82
L000040;V00017;3;978-271-673-7285-1;No Ficción;18,49;1;18,49;0;18,49
L000041;V00017;4;978-946-374-5271-7;Historia;14,62;1;14,62;0;14,62
L000042;V00017;5;978-420-476-8032-0;Arte y Fotografía;55,73;1;55,73;0;55,73
L000043;V00017;6;978-708-566-2923-6;Economía/Negocios;25,06;1;25,06;0;25,06
L000044;V00017;7;978-88-679-1470-3;Ciencia y Tecnología;30,44;1;30,44;0,1;27,4
L000045;V00017;8;978-509-902-1338-9;Historia;30,87;1;30,87;0,05;29,33
