linea_id;venta_id;num_linea;isbn;categoria;precio_unitario;unidades;importe_bruto;descuento_pct;importe_neto
L018057;V08001;1;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,15;39,02
L018058;V08001;2;978-121-212-1381-2;Economía/Negocios;29,1;1;29,1;0,2;23,28
L018059;V08002;1;978-676-773-2135-1;Arte y Fotografía;40,44;3;121,32;0;121,32
L018060;V08002;2;978-862-188-5114-6;Autoayuda;15,81;3;47,43;0,15;40,32
L018061;V08003;1;978-141-841-6955-2;Ciencia y Tecnología;31,61;2;63,22;0;63,22
L018062;V08003;2;978-239-793-2478-9;Ficción;18,14;1;18,14;0,05;17,23
L018063;V08004;1;978-381-226-9068-6;Infantil/Juvenil;12,95;3;38,85;0,1;34,97
L018064;V08004;2;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0;141,63
L018065;V08004;3;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0;20,34
L018066;V08005;1;978-166-573-9497-3;Ficción;13,23;3;39,69;0;39,69
L018067;V08005;2;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0;20,34
L018068;V08006;1;978-232-161-3242-4;Ficción;13,56;1;13,56;0,05;12,88
L018069;V08006;2;978-381-226-9068-6;Infantil/Juvenil;12,95;3;38,85;0;38,85
L018070;V08007;1;978-743-196-6499-9;Historia;22,5;1;22,5;0;22,5
L018071;V08007;2;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0,05;19,13
L018072;V08007;3;978-239-793-2478-9;Ficción;18,14;2;36,28;0,05;34,47
L018073;V08008;1;978-638-931-9804-9;Autoayuda;13,74;1;13,74;0;13,74
L018074;V08008;2;978-503-296-7936-9;No Ficción;20,65;3;61,95;0,15;52,66
L018075;V08008;3;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,05;43,6
L018076;V08008;4;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0,2;113,3
L018077;V08009;1;978-725-520-8862-0;Autoayuda;17,45;3;52,35;0;52,35
L018078;V08009;2;978-166-573-9497-3;Ficción;13,23;3;39,69;0,1;35,72
L018079;V08009;3;978-301-255-8560-2;Cómics/Manga;10,17;3;30,51;0;30,51
L018080;V08009;4;978-121-212-1381-2;Economía/Negocios;29,1;2;58,2;0,1;52,38
L018081;V08009;5;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,1;41,31
