venta_id;fecha;canal;tienda_id;empleado_id;cod_municipio_venta_ine;cliente_id;total_lineas;total_unidades;importe_bruto_total;importe_neto_total
V00001;2023-08-06;Online;ONLINE;ONLINE;28006;C0348;1;1;18,14;16,33
V00002;2022-06-29;Online;ONLINE;ONLINE;50297;C0367;7;11;218,27;214,93
V00003;2022-12-13;Tienda física;T004;E0021;50297;C0080;2;6;95,1;87,05
V00004;2023-05-01;Tienda física;T009;E0049;8019;C0494;1;3;66,18;66,18
V00005;2023-05-09;Tienda física;T001;E0002;28115;C0794;2;2;69,87;69,87
V00006;2023-07-04;Tienda física;T004;E0022;8019;SIN_REGISTRO;1;1;20,24;20,24
V00007;2023-02-28;Online;ONLINE;ONLINE;28074;C0350;4;4;77,94;75,12
V00008;2023-06-18;Online;ONLINE;ONLINE;28079;C0404;1;1;13,18;13,18
V00009;2023-07-23;Tienda física;T001;E0002;47186;C0642;1;1;15,52;13,97
V00010;2022-08-02;Online;ONLINE;ONLINE;41091;C0259;3;5;87,16;83,6
V00011;2022-12-29;Tienda física;T006;E0031;8019;C0454;1;1;14,26;14,26
V00012;2022-10-15;Online;ONLINE;ONLINE;8019;C0192;3;4;106,94;104,93
V00013;2023-01-20;Online;ONLINE;ONLINE;28006;C0752;1;1;14,64;12,44
V00014;2023-08-08;Online;ONLINE;ONLINE;46250;C0434;2;3;53,52;50,78
V00015;2022-07-11;Tienda física;T003;E0015;8019;C0473;3;5;93,87;91,25
V00016;2022-11-12;Online;ONLINE;ONLINE;28079;C0083;4;5;89,74;86,29
V00017;2023-12-28;Tienda física;T009;E0047;28079;C0154;8;8;213,45;206,45
V00018;2023-02-28;Tienda física;T006;E0030;41091;C0685;2;2;64,73;62,65
V00019;2022-09-01;Online;ONLINE;ONLINE;46192;C0465;1;1;14,52;14,52
V00020;2022-11-06;Tienda física;T006;E0032;41091;SIN_REGISTRO;4;4;79,09;77,85
V00021;2022-06-29;Tienda física;T003;E0017;29069;C0539;1;1;39,49;39,49
V00022;2022-02-08;Tienda física;T008;E0044;8015;C0717;2;2;33,2;33,2
V00023;2023-03-31;Tienda física;T003;E0014;50297;C0369;1;1;31,62;28,46
V00024;2023-05-10;Tienda física;T006;E0034;8019;C0053;3;3;49,58;47,45
V00025;2022-07-14;Tienda física;T003;E0017;28115;C0500;2;3;48,39;48,39
V00026;2023-06-21;Tienda física;T004;E0019;46250;C0229;2;3;72,07;72,07
V00027;2022-05-27;Tienda física;T006;E0033;8019;C0296;3;7;121,87;116,93
V00028;2022-07-30;Tienda física;T005;E0029;48044;C0175;2;5;111,14;102,83
V00029;2023-04-16;Online;ONLINE;ONLINE;48044;C0226;4;6;104,27;100,8
V00030;2022-01-05;Online;ONLINE;ONLINE;46192;C0462;2;3;134,65;134,65
V00031;2023-12-05;Tienda física;T006;E0034;8019;C0335;3;4;70,88;66,26
V00032;2022-12-08;Tienda física;T007;E0036;46250;C0261;3;5;102,12;97,88
V00033;2022-04-16;Online;ONLINE;ONLINE;41091;C0159;1;1;11,69;10,52
V00034;2022-01-24;Tienda física;T011;E0058;46250;C0229;1;1;22,17;19,95
V00035;2023-10-17;Tienda física;T007;E0038;28079;C0067;1;1;18,05;18,05
V00036;2022-07-25;Tienda física;T004;E0024;29067;C0065;1;1;13,35;13,35
V00037;2022-10-11;Online;ONLINE;ONLINE;28074;C0664;5;5;149,44;142,46
V00038;2023-03-28;Tienda física;T006;E0031;41091;SIN_REGISTRO;1;4;105,72;89,86
V00039;2022-10-07;Tienda física;T001;E0002;48044;C0798;1;1;30,98;30,98
V00040;2022-10-08;Tienda física;T009;E0049;46250;C0609;4;6;124,62;123,48
V00041;2023-09-30;Online;ONLINE;ONLINE;41059;C0707;3;3;37,09;35,84
V00042;2022-07-31;Online;ONLINE;ONLINE;;SIN_REGISTRO;2;2;46,8;44,82
V00043;2023-07-17;Online;ONLINE;ONLINE;48044;C0172;5;8;167,98;162,17
V00044;2022-05-25;Tienda física;T002;E0012;29069;C0204;3;5;105,37;96,28
V00045;2023-08-11;Online;ONLINE;ONLINE;41091;C0467;1;2;22,62;22,62
V00046;2022-03-14;Online;ONLINE;ONLINE;28079;C0057;1;3;72,57;72,57
V00047;2023-07-08;Online;ONLINE;ONLINE;41059;C0112;4;5;97,87;97,4
V00048;2022-05-14;Online;ONLINE;ONLINE;28065;C0166;2;2;33,38;31,24
V00049;2023-11-23;Tienda física;T001;E0002;48044;C0718;2;4;86,7;79,85
V00050;2023-01-28;Tienda física;T002;E0013;41091;C0001;3;3;55,88;53,71
V00051;2023-03-13;Tienda física;T010;E0054;48044;C0078;2;2;22,01;21,4
V00052;2023-12-23;Online;ONLINE;ONLINE;48044;C0303;1;2;58,84;52,96
V00053;2023-09-24;Tienda física;T008;E0042;48020;C0160;1;1;20,95;20,95
V00054;2022-12-07;Online;ONLINE;ONLINE;48044;C0173;1;1;26,32;26,32
V00055;2023-04-22;Tienda física;T008;E0040;48020;SIN_REGISTRO;1;2;39,04;35,14
V00056;2022-04-06;Tienda física;T001;E0006;28006;C0713;1;1;24,6;20,91
V00057;2022-04-10;Online;ONLINE;ONLINE;29067;C0786;2;3;78,44;73,48
V00058;2023-12-02;Online;ONLINE;ONLINE;28006;C0713;4;7;296,37;286,63
V00059;2023-04-27;Tienda física;T010;E0054;28079;C0698;1;1;12,5;12,5
V00060;2022-05-28;Online;ONLINE;ONLINE;41091;C0139;3;6;109,59;103,02
V00061;2023-01-08;Online;ONLINE;ONLINE;50297;C0379;4;7;263,59;247,44
V00062;2023-12-18;Tienda física;T004;E0023;28079;C0005;2;3;46,59;41,63
V00063;2022-11-29;Online;ONLINE;ONLINE;47186;C0050;1;2;27,6;26,22
V00064;2022-01-31;Tienda física;T010;E0050;8019;C0174;1;4;98,64;98,64
V00065;2022-04-26;Online;ONLINE;ONLINE;28074;C0146;1;4;87,76;87,76
V00066;2023-04-18;Tienda física;T012;E0064;8019;C0391;1;1;15,05;15,05
V00067;2022-12-23;Online;ONLINE;ONLINE;8019;C0134;1;2;35,04;31,54
V00068;2023-06-05;Tienda física;T003;E0016;28079;SIN_REGISTRO;1;1;15,49;15,49
V00069;2022-04-20;Tienda física;T008;E0043;8019;C0727;5;7;133,15;130,06
V00070;2022-11-06;Tienda física;T009;E0046;28115;C0305;2;2;50,5;48,02
V00071;2023-02-15;Tienda física;T003;E0016;47186;C0642;1;1;33,54;30,19
V00072;2022-09-02;Tienda física;T010;E0054;41059;C0538;1;2;29,68;26,71
