venta_id;fecha;canal;tienda_id;empleado_id;cod_municipio_venta_ine;cliente_id;total_lineas;total_unidades;importe_bruto_total;importe_neto_total
V08001;2025-05-11;Online;ONLINE;ONLINE;41059;C0251;2;4;75,0;62,3
V08002;2025-05-07;Online;ONLINE;ONLINE;28074;C0224;2;6;168,75;161,64
V08003;2025-05-07;Online;ONLINE;ONLINE;41059;C0007;2;3;81,36;80,45
V08004;2025-05-02;Online;ONLINE;ONLINE;28079;C0368;3;8;200,82;196,94
V08005;2025-05-09;Online;ONLINE;ONLINE;46250;C0592;2;5;60,03;60,03
V08006;2025-05-04;Tienda física;T007;E0037;46250;C0374;2;4;52,41;51,73
V08007;2025-05-10;Tienda física;T009;E0047;48044;C0389;3;4;78,92;76,1
V08008;2025-05-02;Online;ONLINE;ONLINE;46192;C0218;4;10;263,22;223,3
V08009;2025-05-07;Tienda física;T007;E0037;46250;C0142;5;14;226,65;212,27
V08010;2025-05-09;Online;ONLINE;ONLINE;8019;C0012;1;2;45,0;42,75
V08011;2025-05-02;Online;ONLINE;ONLINE;29067;C0465;1;3;141,63;141,63
V08012;2025-05-09;Tienda física;T011;E0058;8015;C0624;2;4;55,98;53,69
V08013;2025-05-10;Online;ONLINE;ONLINE;28006;C0115;3;5;72,09;64,75
V08014;2025-05-02;Tienda física;T009;E0047;48044;C0487;5;12;432,94;412,34
V08015;2025-05-04;Online;ONLINE;ONLINE;46192;C0022;5;7;133,48;129,61
V08016;2025-05-11;Tienda física;T009;E0047;48044;C0585;5;11;316,75;301,8
V08017;2025-05-11;Tienda física;T011;E0056;50297;C0746;3;5;169,22;164,85
V08018;2025-05-05;Tienda física;T002;E0010;8019;C0101;1;1;22,5;22,5
V08019;2025-05-04;Online;ONLINE;ONLINE;50297;C0493;2;2;23,91;21,52
V08020;2025-05-05;Tienda física;T008;E0042;48020;C0749;5;9;202,21;182,59
V08021;2025-05-09;Tienda física;T009;E0047;48044;C0521;1;1;15,79;12,63
V08022;2025-05-02;Tienda física;T004;E0021;8019;C0584;2;5;70,74;66,67
V08023;2025-05-10;Tienda física;T005;E0026;8019;C0322;2;3;74,69;70,96
V08024;2025-05-02;Online;ONLINE;ONLINE;28079;C0076;5;10;264,59;247,43
V08025;2025-05-01;Tienda física;T009;E0048;28079;C0138;3;4;77,5;69,74
V08026;2025-05-04;Tienda física;T005;E0029;8019;C0053;1;2;63,22;63,22
V08027;2025-05-01;Online;ONLINE;ONLINE;28115;C0653;3;7;131,82;127,08
V08028;2025-05-12;Tienda física;T009;E0046;8019;C0152;4;7;116,91;112,08
V08029;2025-05-07;Tienda física;T012;E0062;41038;C0167;2;3;63,23;61,65
V08030;2025-05-05;Online;ONLINE;ONLINE;28079;C0392;1;1;17,45;17,45
V08031;2025-05-08;Online;ONLINE;ONLINE;41038;C0229;1;2;99,84;94,85
V08032;2025-05-05;Tienda física;T005;E0027;8019;C0410;5;11;283,53;261,04
V08033;2025-05-09;Online;ONLINE;ONLINE;29069;C0261;1;1;31,61;26,87
V08034;2025-05-09;Tienda física;T012;E0062;28006;C0072;3;9;180,57;167,18
V08035;2025-05-06;Tienda física;T005;E0029;8019;C0431;4;9;143,63;131,57
V08036;2025-05-11;Online;ONLINE;ONLINE;48044;C0453;2;6;173,67;173,67
V08037;2025-05-05;Tienda física;T011;E0060;50297;C0770;2;2;41,58;41,58
V08038;2025-05-04;Tienda física;T010;E0050;29069;C0645;5;8;171,79;162,86
V08039;2025-05-09;Online;ONLINE;ONLINE;28079;C0468;2;5;142,83;122,35
V08040;2025-05-10;Tienda física;T009;E0049;8019;C0457;2;5;96,85;93,75
V08041;2025-05-09;Tienda física;T004;E0020;8019;C0731;3;4;105,63;99,59
V08042;2025-05-07;Tienda física;T012;E0062;28006;C0418;3;6;158,63;154,5
V08043;2025-05-10;Online;ONLINE;ONLINE;28006;C0361;3;8;181,05;174,87
V08044;2025-05-05;Tienda física;T001;E0004;28079;C0696;4;7;124,64;115,21
V08045;2025-05-03;Online;ONLINE;ONLINE;47186;C0336;2;4;77,58;69,82
V08046;2025-05-05;Tienda física;T008;E0040;48020;C0054;3;5;63,88;63,88
V08047;2025-05-04;Online;ONLINE;ONLINE;28079;C0578;2;5;182,93;154,6
V08048;2025-05-12;Tienda física;T003;E0016;28079;C0027;3;7;102,99;100,24
V08049;2025-05-02;Tienda física;T005;E0029;28065;C0356;5;11;260,93;244,32
V08050;2025-05-07;Online;ONLINE;ONLINE;8015;C0667;3;7;128,3;110,46
V08051;2025-05-04;Tienda física;T002;E0009;41038;C0769;4;6;97,1;91,56
V08052;2025-05-05;Tienda física;T012;E0063;28006;C0530;2;5;79,97;69,96
V08053;2025-05-04;Tienda física;T011;E0059;50297;C0018;1;1;21,44;19,3
V08054;2025-05-12;Online;ONLINE;ONLINE;46250;C0485;5;10;263,4;249,91
V08055;2025-05-12;Tienda física;T012;E0062;28006;C0757;4;7;204,57;204,57
